node_id	node_type
RpII140	target
su(RpII140<up>Z36</up>)S18	source
RpII140	target
su(RpII140<up>Z36</up>)S19	source
RpII140	target
su(RpII140<up>Z36</up>)S2	source
RpII140	target
su(RpII140<up>Z36</up>)S20	source
RpII140	target
su(RpII140<up>Z36</up>)S3	source
RpII140	target
su(RpII140<up>Z36</up>)S4	source
RpII140	target
su(RpII140<up>Z36</up>)S5	source
RpII140	target
su(RpII140<up>Z36</up>)S6	source
RpII140	target
su(RpII140<up>Z36</up>)S7	source
RpII140	target
su(RpII140<up>Z36</up>)S8	source
RpII140	target
su(RpII140<up>Z36</up>)S9	source
RpII140	target
su(Ubx<up>bx-1</up>)	source
Ubx	target
su(comt<up>6</up>)S14	source
comt	target
su(dpy<up>ov</up>)	source
dpy	target
su(f)	source
Dl	target
su(f)	source
f	target
su(f)	source
lz	target
su(f)	source
w	target
su(fa<up>swb</up>)	source
N	target
su(lz<up>34</up>)	source
lz	target
su(pr)	source
pr	target
su(r)	source
r	target
su(sable)	source
pr	target
su(sable)	source
y	target
su(w<up>a</up>)	source
w	target
α-Cat	source
N	target
α-Cat	source
Rho1	target
α-Cat	source
pyd	target
α-Cat	source
shg	target
α-Cat	source
sqh	target
α-Cat::shg	source
arm	target
α-Cat::shg	source
shg	target
α-Spec	source
crb	target
α4GT1	source
N	target
α4GT1	source
Tom	target
α4GT1	source
mib1	target
α4GT1	source
rpr	target
α4GT2	source
mib1	target
αSnap	source
Nsf2	target
αSnap	source
comt	target
αTub67C	source
ncd	target
αTub67C	source
pins	target
αTub84B	source
pins	target
β-Spec	source
DCTN1-p150	target
β-Spec	source
Dhc64C	target
β-Spec	source
crb	target
β3GalTII	source
Hs3st-B	target
β4GalNAcTA	source
Pink1	target
βTub56D	source
pins	target
βTub60D	source
pins	target
βggt-I	source
Ras85D	target
βggt-I	source
yki	target
γTub23C	source
Dl	target
γTub23C	source
Psn	target
γTub23C	source
brm	target
γTub23C	source
unc-104	target
γTub37C	source
ncd	target
