E(z)	Pp1-87B	enhanceable
Col4a1	vkg	suppressible
w	Wow	enhanceable
Dl	E(Dl)F167	enhanceable
drk	Sos	suppressible
l(3)mbt	nos	suppressible
Bx	Spn88Eb	enhanceable
lt	Su(var)2-1|Su(var)208	enhanceable
sax	Med	suppressible
w	Dcr-1	suppressible
sc	ac	enhanceable
αTub84B	pins	enhanceable
N	Kap-α3	enhanceable
ash1	trx	enhanceable
LIMK1	pbl	suppressible
RpII215	RpII140	suppressible
hrg	H	suppressible
H	Su(H)	enhanceable
dpp	tkv	suppressible
tna	lwr	enhanceable
bw	Mod(Prat:bw)3-4	suppressible
bsk	Fas2	suppressible
sc	E(spl)mδ-HLH	suppressible
dl	Dif	suppressible
tefu	p53	suppressible
r	su(Hw)	suppressible
fra	robo1	suppressible
Pink1	Tom40	enhanceable
ftz	E(ftz)1427	enhanceable
wupA	Mhc	suppressible
Myc	Mnt	suppressible
Tsc1|gig	Hr3	suppressible
rpr	Diap1	suppressible
btl::Egfr	sty	suppressible
smo	gish	suppressible
lqf	spen	enhanceable
spin	sax	suppressible
PDZ-GEF	Dsor1	suppressible
Rbf	bsk	suppressible
gb	mGluR	suppressible
caup	ago	enhanceable
hid	Cdk7	suppressible
p53	Set	suppressible
Slik	Raf	suppressible
ds	fj	enhanceable
Sec71	Arf79F	suppressible
foxo	Lrrk	enhanceable
Fmr1	l(2)gl	suppressible
hh	brm	suppressible
Sdc	dlp	enhanceable
aos	S	enhanceable
N	kuz	suppressible
flw	btl::Egfr	enhanceable
Pvr	NFAT	suppressible
ex	mir-278	suppressible
Pkn	sqh	enhanceable
Sin3A	htt	suppressible
sina	Su(Tpl)	suppressible
pbl	Rho1	enhanceable
w|z	e(y)3	enhanceable
pins	Sgt1	enhanceable
sli	scb	enhanceable
rux	Ras85D	enhanceable
hh	mir-14	enhanceable
Egfr	tws	enhanceable
Psn	H	suppressible
csw	Sos	suppressible
ash1|trx	pho	suppressible
hep	bsk	suppressible
w	Mow	suppressible
Pc	lolal	suppressible
Pi3K92E	ebi	enhanceable
N	sgg	suppressible
Ccdc85	ASPP	enhanceable
brm	Marcal1	enhanceable
dpp|lolal	Med	suppressible
sev	Dsor1	suppressible
Cdc16	Nek2	enhanceable
Tm1	vas	enhanceable
mira	stau	suppressible
Pc	Hsc70-4	enhanceable
egr	Tak1	suppressible
sas	Ptp10D	enhanceable
sc	esg	suppressible
sd	Dcr-2	suppressible
enc	otu	suppressible
Streak	e	enhanceable
Dl	aos	enhanceable
hh	mam	suppressible
Mmp2	frac	suppressible
ato	hh	enhanceable
caup	CycE	suppressible
βTub85D	mrn	enhanceable
Gαs	Cul3	suppressible
B52	Top1	suppressible
dgo	fz	suppressible
fz	fz::fz2	suppressible
y	su(Hw)	suppressible
hid	sav	suppressible
ase	esg	suppressible
CalpB	mys	enhanceable
RacGAP84C	RhoGEF64C	enhanceable
S	rho	enhanceable
MTF-1	Ctr1B	suppressible
